Time,source,Main purpose,"∑N, av. N, (range N)",Number of species,Sampling method,Sample preservation,Biological data (metrics) & physical measurement ,"Av. fish length,                 length range (cm)",Method type,Part of GI tract examined,Plastics isolation,Detection of plastics,Polymer identification,Lower size limit of plastics (mm),Fibres included (Y/N),Av. FO per study (%),"Plastic size (mm)             < 1, 1-5, > 5"
2015,Abbasi et al. 2015,Plastics study,"88, 22, (8-34)",2,,FR,"FL, W","19, 16-23",3,GI,"CD (35% H2o2, 4% KOH, 68% HClO4, 65 %HNO3), F (2 µm)",M,,,Y,,
2015-2016,Alomar and Deudero 2017,Plastics study,"140, 35, (2-125)",4,Trawling,FR,"TL, FW, S, GF","30, (11.5-56)",2,G,,M,FTIR,,Y,17.9,
2014-2015,Alomar et al. 2017,Plastics study,417,1,Bottom trawls and trammel fishing,No preservation,"TL, W, S",16.9,2,G,,M,FTIR,,Y,27.3,
2010,Anastasopoulou et al. 2013,Plastics study,"1502, 58, (1-745)",26,Longline,FR,"TL, S, OP, GF","n/a, 25.4-66.5",2,GI ,,M,,,Y,1.9,> 5
2014-2015,Anastasopoulou et al. 2018,Plastics study,"844, 46.9, (1-148)",18,Various,FR,TL,"21.1, 4.6-38.4",2 & 3,GI,"CD (30% H2O2), F (n/a)",M,,,Y,23.7,
1975,Anonymous 1975,Report,,4,,,,,,,,,,,,,
2014,Avio et al. 2015,Plastics study,"125, 30, (3-99)",5,,FR,L,"av. 11.8-47.6, n/a",3,GI ,"H, D, G, DS (1.2 g/cm3 NaCl), CD (15% H2O2), F (8 µm)",M,FTIR,0.008,N,28,< 1
2014,Avio et al. 2017,Plastics study,"41, 10.3, (5-19)",4,Gillnets,FR,L,"av. 24-33, n/a",3,GI,"H, D, G, DS (1.2 g/cm3 NaCl), CD (15% H2O2), F (8 µm)",M,FTIR,0.008,Y,85.4,< 1
2011-2017,Baalkhuyur et al. 2018,Plastics study,"178, 6.9, (2-12)",26,Various,FR,"TL, W","26.3, 10.5-36.3",3,GI,"CD (NaOH), F (200 µm)",M,FTIR,0.2,Y,14.6,1-5
2012,Battaglia et al. 2016,Diet study,115,1,Trolling lines,,"FL, TW, GF","23.4, 16.5-28.0",2,G,,M,,,,24.3,
2014,Bellas et al. 2016,Plastics study,"212, 70.7, (12-128)",3,Bottom trawls,FR,L,"n/a, 16.8-33.5",3,G,"D, CD (1mol NaOH), F (n/a)",M,,,Y,17.5,< 1
2012,Benjamin et al. 2014,Report,1,1,Gillnet fisheries,PI,"SL, TL, W, S",346,,,,,,,,,
1999-2015,Bernardini et al. 2018,Plastics study,95,1,Longlines,No preservation,"TL, TW",various,2,G,F (1mm),M,FTIR,1,Y,25.3,> 5
2014,Bessa et al. 2018,Plastics study,"120, 40",3,Beam trawl,freezing,"TL, W",12-14,3,GI,"CD (10% KOH) , F (1.2um)",M,FTIR,0.0012,Y,38,1-5
2008,Boerger et al. 2010,Plastics study,"670, 111.7, (7-462)",6,Plankton net,"FX (5% CH20, 70% C3H8O)","SL, SW, S","n/a, 1-10",2,G,,M,,,Y,35,1-5
2016,Bråte et al. 2016,Plastics study,302,1,Fyke nets and trawls,FR,,,2,G,,M,FTIR,,Y,3,> 5
2015-2016,Budimir et al. 2018,Plastics study,"673, 224.3, (154-355)",3,Trawling,FR,"L, W",3-22,3,GI,"CD (NaOH), F (100 µm)",M,,0.1,N,0.9,
2010-2015,Cannon et al. 2016,Plastics study,"322, 16.1, (1-66)",20,"Fish market, bycatch",FR,"TL, W","n/a, 9.2-55.7",2,"G, GI","dS in ionised water, F (333 µm)",M,FTIR,0.33,Y,0.3,< 1
2015-2016,Cardozo et al. 2018,Plastics study,122,1,Gillnets and purse seine nets,FX (4% CH2O),L,14.5-24.9,2,G,,M,,,Y,49.2,
1972,Carpenter et al. 1972,Plastics study,"270, 33.8, (1-95)",14 (8),Plankton net,,L,,,GI,,,FTIR,,,9,
2010-2014,Cartes et al. 2016,Plastics study,"503, 55.9 (10-220)",9,Bottom trawls,FR,"PAL, TL","n/a, 21.8-66",1,"G, GI, I",,NE,,,Y,3.5,1-5
2015-2017,Chagnon et al. 2018,Plastics study,"93, 46.5, 43-50",2,Line,FX (70% C2H5OH),FL,30-75,2,"G, GI",,M,FTIR,,N,8.6,
2017,Cheung et al. 2018,Plastics study,30,1,,,"FL, W",43.3,3,GI,"CD (30% H2o2), dS (1.2 NaCl), F (11 µm)",M,FTIR,0.01,Y,60,1-5
2007-2012,Choy and Drazen 2013,Diet study,"595, 59.5, (24-144)",10,Longline,FR,"L, S","n/a, 71.5-145.4",1,G,,NE,,,,18.3,
1978-2000,Cliff et al. 2002,Plastics study,"15666, 1119, (177-2741)",14,Protective shark nets,,PCL,"n/a, 75-258",1,G,,NE,,,,0.4,
